ID,LACT,DIMatSample,DIMatBreeding,DateofBreeding,ReasonBred,Milking.Shift,Fat...D,CU.Protein,CU.Lactose,Tot.Solids,SNF,NPN.CU,Denovo.FA,Mixed.FA,Performed.FA,DeNovo.Cal.Rel.,Mixed.Cal.Rel..,Preformed.Cal.Rel..,mChainL,mUnsat,PalmiticAcid,StearicAcid,OleicAcid,C181T10,C181T11,SatFAmasspermass,MonoFAmasspermass,PolyFAsmasspermass,FreeFA,CisFAmasspermass,TransFAmasspermass,CitricAcid,BHB,Acetone,Blood.NEFA..ueq.L.,Conductivity,preg
1137,9,77,96,2/4/17,TimeBred,M1,2.9387,2.9093,4.5274,11.457,8.504,16.7,0.69,1.15,0.94,24.77,41.48,33.74,14.4,0.29,1.08,0.28,0.58,0.006,0.012,2,0.7,0.08,0.9,0.78,0.01,1427,0.11,0.09,21.29,7.43,FALSE
1137,9,78,96,2/4/17,TimeBred,M1,3.2224,2.8329,4.3752,11.508,8.261,14.8,0.81,1.33,0.97,25.94,42.83,31.22,14.22,0.26,1.25,0.31,0.53,0.01,0.01,2.3,0.68,0.07,0.6,0.74,0.02,1447,0.11,0.08,-79.51,7.44,FALSE
1137,9,79,96,2/4/17,TimeBred,M1,2.4844,2.7936,4.4654,10.819,8.312,14.5,0.61,1.06,0.7,25.62,44.85,29.52,14.42,0.28,0.98,0.2,0.45,0.005,0.008,1.74,0.55,0.06,0.7,0.61,0.01,1426,0.09,0.06,9.6,7.41,FALSE
1137,9,86,96,2/4/17,TimeBred,M1,2.9304,2.5808,4.7291,11.294,8.35,16.4,0.71,1.22,0.84,25.78,43.94,30.28,14.22,0.25,1.14,0.25,0.52,0.002,0.021,2.07,0.62,0.07,0.8,0.7,0.01,1421,0.08,0.06,105.36,6.83,FALSE
1137,9,93,96,2/4/17,TimeBred,M1,3.7864,2.7025,4.6854,12.235,8.437,17.3,0.92,1.39,1.37,24.99,37.82,37.18,14.11,0.25,1.32,0.42,0.64,0.01,0.042,2.64,0.83,0.11,0.2,0.88,0.06,1837,0.14,0.16,234.24,6.5,FALSE
1137,9,100,96,2/4/17,TimeBred,M1,4.0136,2.6316,4.6151,12.317,8.288,12.9,0.99,1.45,1.49,25.11,36.97,37.92,14.09,0.24,1.38,0.45,0.67,0.013,0.045,2.8,0.88,0.12,0.9,0.92,0.07,1490,0.14,0.16,225.38,6.95,FALSE
1419,7,41,60,7/16/16,Lut2,M1,3.7565,2.3848,4.5514,11.739,7.956,7.2,0.71,1.04,1.9,19.36,28.53,52.11,14.63,0.38,1.06,0.42,1.11,0.002,0.052,2.21,1.29,0.17,1,1.36,0.06,1583,0.11,0.14,575.56,7.33,TRUE
1419,7,42,60,7/16/16,Lut2,M1,4.8561,2.4404,4.5486,12.906,8.026,8.6,0.9,1.24,2.6,18.94,26.13,54.93,14.63,0.41,1.27,0.57,1.43,0.017,0.086,2.78,1.71,0.26,0.6,1.77,0.13,1708,0.15,0.18,843.53,7.3,TRUE
1419,7,43,60,7/16/16,Lut2,M1,3.9171,2.4706,4.5502,11.992,8.051,7.6,0.73,1.12,1.88,19.47,29.96,50.57,14.71,0.39,1.13,0.41,1.18,0.007,0.051,2.28,1.37,0.18,1.1,1.43,0.07,1655,0.12,0.14,556.77,7.35,TRUE
1419,7,44,60,7/16/16,Lut2,M1,3.3249,2.4225,4.524,11.316,7.965,7.1,0.59,0.97,1.6,18.71,30.68,50.61,14.77,0.39,0.98,0.33,1.04,0.007,0.042,1.91,1.2,0.15,1.5,1.25,0.06,1615,0.08,0.08,513.29,7.65,TRUE
